id,name,category,granularity,availability,mixed_hdv_cav,mpr,v2x,closed_loop_scope,tasks,limitation,url,bibtex_key,last_verified
sumo,SUMO,traffic and signal,microscopic,open,direct,direct,partial,traffic/control,traffic optimization; motion planning; safety assessment; interaction analysis,No native perception detailed vehicle dynamics or packet-level V2X,https://eclipse.dev/sumo/,Lopez2018SUMO,2026-08-27
ptv-vissim,PTV Vissim/Viswalk,traffic and signal,microscopic,commercial,partial,direct,partial,traffic/control,traffic optimization; safety assessment; interaction analysis,CAV behavior and V2X require custom or external models,https://www.ptvgroup.com/en/products/ptv-vissim,Fellendorf2010VISSIM,2026-08-27
aimsun,Aimsun Next,traffic and signal,multiresolution,commercial/academic,partial,direct,partial,traffic/control,traffic optimization; safety assessment; interaction analysis,Perception detailed dynamics and V2X require coupling,https://www.aimsun.com/aimsun-next/,AimsunNext,2026-08-27
cityflow,CityFlow,traffic and signal,microscopic,open,partial,partial,no,traffic/control,traffic optimization,Abstract road-user behavior with no native sensing or V2X,https://github.com/cityflow-project/CityFlow,Zhang2019CityFlow,2026-08-27
cavsim,CAVSim,traffic and signal,microscopic,open,partial,partial,partial,vehicle/agent,traffic optimization; V2X cooperation; motion planning; safety assessment; interaction analysis,CAV-centric with limited HDV/VRU and communication fidelity,https://github.com/JiaweiZhang-THU/CAVSim,Zhang2023CAVSim,2026-08-27
carla,CARLA,automated driving,vehicle/agent,open,partial,partial,partial,vehicle/agent,motion planning; safety assessment; perception; interaction analysis,Limited traffic-engineering fidelity and no packet-level V2X,https://carla.org/,Dosovitskiy2017CARLA,2026-08-27
metadrive,MetaDrive,automated driving,vehicle/agent,open,partial,partial,no,vehicle/agent,motion planning; safety assessment; perception; interaction analysis,Limited traffic-engineering and V2X fidelity,https://metadriverse.github.io/metadrive/,Li2021MetaDrive,2026-08-27
smarts,SMARTS 2.0,automated driving,vehicle/agent,open,partial,partial,partial,vehicle/agent,V2X cooperation; motion planning; safety assessment; perception; interaction analysis,Traffic demand and packet-level V2X require external models,https://github.com/huawei-noah/SMARTS,Alban2025SMARTS,2026-08-27
waymax,Waymax,automated driving,vehicle/agent,non-commercial,partial,no,no,vehicle/agent,motion planning; safety assessment; interaction analysis,No raw sensing explicit MPR modeling or operational V2X,https://github.com/waymo-research/waymax,Waymax,2026-08-27
carsim,CarSim,automated driving,vehicle/agent,commercial,partial,no,no,vehicle/agent,motion planning; safety assessment,No network traffic perception or V2X without coupling,https://www.carsim.com/,CarSim2026,2026-08-27
ns3,ns-3,V2X communication,packet/network,open,no,no,partial,network/application,V2X cooperation,Requires external mobility and control models,https://www.nsnam.org/,Riley2010ns3,2026-08-27
omnet,OMNeT++/INET,V2X communication,packet/network,academic/commercial,no,no,partial,network/application,V2X cooperation,Vehicular mobility and V2X require dedicated extensions,https://omnetpp.org/,Varga2001OMNeT,2026-08-27
simu5g,Simu5G,V2X communication,packet/network,open,no,no,partial,network/application,V2X cooperation,Direct V2X sidelink requires an appropriate extension,https://simu5g.org/,Nardini2020Simu5G,2026-08-27
artery,Artery/Artery-C,V2X communication,packet/network,open,direct,direct,direct,cross-domain,V2X cooperation,Traffic-control effects require explicit control feedback,https://github.com/riebl/artery,ArteryV2X,2026-08-27
nr-v2x,5G-LENA NR-V2X,V2X communication,packet/network,open,no,no,direct,network/application,V2X cooperation,Traffic effects require external mobility/control coupling,https://5g-lena.cttc.es/,FiveGLENANRV2X,2026-08-27
veins,Veins,multidomain co-simulation,cross-domain,open,direct,direct,direct,cross-domain,traffic optimization; V2X cooperation; safety assessment,No high-fidelity perception or detailed vehicle dynamics,https://veins.car2x.org/,Sommer2019Veins,2026-08-27
eclipse-mosaic,Eclipse MOSAIC,multidomain co-simulation,cross-domain,open/commercial,direct,direct,direct,cross-domain,traffic optimization; V2X cooperation; motion planning; safety assessment,Fidelity depends on selected federates and interfaces,https://eclipse.dev/mosaic/,EclipseMOSAIC,2026-08-27
sumo-carla,SUMO-CARLA,multidomain co-simulation,cross-domain,open,direct,direct,partial,cross-domain,traffic optimization; motion planning; safety assessment; perception; interaction analysis,No packet-level V2X and synchronization-sensitive,https://carla.readthedocs.io/en/latest/adv_sumo/,CARLASUMOCosim,2026-08-27
opencda,OpenCDA,multidomain co-simulation,cross-domain,open,direct,direct,partial,cross-domain,V2X cooperation; motion planning; safety assessment; perception; interaction analysis,No packet channel or protocol-level V2X fidelity,https://github.com/ucla-mobility/OpenCDA,Xu2021OpenCDA,2026-08-27
